"Nombre_fichero";"N_Pistas";"melody";"bass";"piano_rh";"piano_lh";"mixdown";;;;
"Compagnie_Creole_Cest_bon_pour_le_moral.kar";12;;6;;;;;"OK";;
"Conway_Twitty_Its_Only_Make_Believe.kar";16;;4;;;;"Makebeliev        2 ";"OK";;
"Corazon.kar.kar";16;;3;;;;"bass";"OK";;
"Corona_Rhythm_Of_The_Night.kar";12;;4;;;;"Bass    ";"OK";;
"Corona_Rhythm_of_the_night_4.kar";12;;4;;;;"Bass    ";"OK";;
"Corrs_Heaven_Knows.kar";23;;12;;;;"Fingered bass";"OK";;
"Coshai_trovato_in_lui_Bruno_Martino.kar";16;;3;;;;"Bass    ";"OK";;
"Cpartio.kar.kar";19;;10;;;;"Bass";"OK";;
"Cranberries_Twenty_One.kar";25;;11;;;;"Bass";"OK";;
"Creedance_Clearwater_Revival_Down_On_The_Corner.kar";7;;4;;;;"LEAD GUITAR";"OK";;
"Creedance_Clearwater_Revival_Fortunate_Son.kar";8;;5;;;;"Fretless Bs.";"OK";;
"Creedance_Clearwater_Revival_I_Heard_It_Through_The_Grapev.kar";11;;5;;;;"Bass";"OK";;
"Creedance_Clearwater_Revival_Lookin_Out_My_Back_Door.kar";9;;8;;;;"Bass";"OK";;
"Creedence_Clearwater_Revival_Fortunate_Son.kar";8;;5;;;;"Fretless Bs.";"OK";;
"Cristian_Castro_Azul.kar";15;;4;;;;" Fretless Bs.";"OK";;
"Cristian_Castro_Despues_de_ti.kar";7;;;;;;;"OK-M";"Revisar";
"Cristiani_Herve_Il_est_libre_Max.kar";15;;3;;;;"Basse fretless";"OK";;
"Cutting_Crew_I_Just_Died_in_Your_Arms_Tonight.kar";27;;3;;;;"Bass Gtr            ";"OK";;
"Dalida_Besame_mucho.kar";14;;3;;;;"Bass";"OK";;
"Dalida_Darladirladada.kar";10;;3;;;;"Basse   2";"OK";;
"Dalida_O_sole_mio.kar";13;;4;;;;"Bass    ";"OK";;
"Dalida_Paroles_paroles.kar";9;;4;;;;;"OK";;
"Dana_International_Diva_1.kar";17;;17;;;;"Bass";"OK";;
"Dani_Daraiche_Mon_amour_mon_ami.kar";9;;3;;;;"BASS";"OK";;
"Dani_Daraiche_Quand_je_tai_connue_belle.kar";14;;3;;;;"BASS";"OK";;
"Dani_Daraiche_Ton_coeur_blesse.kar";14;;6;;;;"Basse Accoustique";"OK";;
"Daniel_Balavoine_Tous_les_cris_les_s.o.s.kar";15;;4;;;;"Basse  2";"OK";"Revisar";
"Daniel_Balavoine_Vendeur_de_larmes.kar";15;;4;;;;;"OK";;
"Daniel_Belanger_Ensorcele.kar";17;;"4 16";;;;"acous bass";"OK-M";;
"Daniel_Boucher_Les_boules_a_mites.kar";15;;4;;;;"BASS";"OK";;
"Daniel_Gerard_Butterfly.kar";9;;2;;;;"FingBass2";"OK";;
"Daniel_Gerard_Il_pleut_dans_ma_maison.kar";9;;5;;;;"Basse Ac 2";"OK";;
"Daniel_Gerard_Memphis_Tennessee.kar";14;;4;;;;"BASS    ";"OK";;
"Daniel_Guichard_Je_viens_pas_te_parler_damour.kar";10;;4;;;;"Basse  2";"OK";;
"Daniel_Guichard_La_tendresse.kar";17;;6;;;;"Basse  2";"OK";;
"Danielle_Dumas_Pas_souvent.kar";13;;1;;;;"BASS";"OK";;
"Danny_Brillant_Quand_je_vois_tes_yeux.kar";16;;5;;;;"Basse   2";"OK";;
"Danny_Brillant_Toi_et_moi.kar";15;;4;;;;"Basse";"OK";;
"Danny_Brillant_Viens_a_Saint_Germain.kar";8;;3;;;;;"OK";;
"Danny_Brillant_Ya_que_les_filles_qui_minteressent.kar";12;;4;;;;;"OK";;
"Dany_Aube_Mon_coeur_se_brise.kar";14;;9;;;;"BASS";"OK";;
"Daraiche_Bobby_McGee.kar";14;;1;;;;"Basse 1";"OK";;
"Daraiche_Dans_ma_belle_petite_maison.kar";8;;"4 8";;;;"MaP'TiTmaison     2 ";"OK-M";;
"Daraiche_Javais_16_ans.kar";20;;10;;;;"BASS";"OK";;
"Daraiche_Le_coin_des_amours.kar";12;;1;;;;"Bass";"OK";;
"Daraiche_Les_cowboys_du_Quebec.kar";16;;4;;;;"BASS     ";"OK";;
"Daraiche_Ton_coeur_blesse.kar";14;;6;;;;"Basse Accoustique";"OK";;
"Dario_Moreno_La_marmite.kar";9;;3;;;;"Basse  2";"OK";;
"Dave._Vanina.kar";18;;5;;;;"Bass";"OK";;
"David_Bowie_China_girl.kar";15;;4;;;;"Bass";"OK";;
"David_Charvet_Jusquau_Bout.kar";17;;3;;;;"Basse";"OK";;
"David_Civera_Caminar_por_la_vida.kar";16;;8;;;;"tk5";"OK";;
"David_Hallyday_Tu_ne_mas_pas_laisse_le_temps.kar";15;;4;;;;"Basse";"OK";;
"Deana_Carter_Strawberry_wine.kar";19;;6;;;;"Bass";"OK";;
"Desireless_Voyage_voyage.kar";13;;5;;;;"Bajo";"OK";;
"Diane_Tell_La_legende_de_Jimmy.kar";14;;5;;;;"Gtr Bass";"OK";;
"Diary.kar";8;;4;;;;"Bass";"OK";;
"Dick_Rivers_Rien_quun_seul_mot.kar";11;;10;;;;"Bass    ";"OK";;
"Dick_Rivers_Un_baiser_de_toi.kar";15;;4;;;;"BASS                ";"OK";;
"Didier_Barbelivien_A_toutes_les_filles.kar";16;;5;;;;"Basse";"OK";;
"Diego_Torres_La_ultima_noche.kar";13;;5;;;;"Bajo";"OK";;
"Dire_Straits_Calling_Elvis_1.kar";16;;15;;;;"Bass";"OK";;
"Dire_Straits_Money_For_Nothing.kar";15;;5;;;;"Bass";"OK";;
"Dire_Straits_Money_for_Nothing_4.kar";15;;5;;;;"Bass";"OK";;
"Dirty_Dancing_Shes_like_the_wind.kar";25;;9;;;;"Bass";"OK";;
"Divers_Comptines_A_la_claire_fontaine.kar";10;;;;;;"Choeur 1";"OK-M";"Revisar";
"Divers_Comptines_Ah_vous_dirai_je_Maman.kar";9;;5;;;;"Basse";"OK";;
"Divers_Comptines_Ah_vous_dirai_je_Maman_b.kar";9;;5;;;;"Basse";"OK";;
"Divers_Comptines_Au_chant_de_lalouette.kar";10;;3;;;;"Bass                ";"OK";;
"Divers_Comptines_Cadet_Rousselle.kar";4;;;;;;"Piano";"OK-M";;
"Divers_Comptines_Dans_cette_etable.kar";11;;8;;;;"Slow Strings";"OK";"Revisar";
"Divers_Comptines_Hakuna_matata.kar";14;;5;;;;"E Bass";"OK";;
"Divers_Comptines_Hardi_les_gars.kar";3;;;;;;;"OK";;
"Divers_Comptines_Hymne_au_pastis.kar";13;;13;;;;"Basse";"OK";"Revisar";
"Divers_Comptines_Il_etait_une_bergere.kar";11;;;3;4;;"Piano";"OK-M";;
"Divers_Comptines_Jai_du_bon_tabac.kar";12;;6;;;;"Piano";"OK";"Revisar";
"Divers_Comptines_Jai_vu_Maman_embrasser_le_pere_Noel.kar";11;;10;;;;"Bass";"OK";;
"Divers_Comptines_La_casquette_du_pere_Bugeau.kar";10;;6;;;;"m�lodie 2";"OK";;
"Divers_Comptines_Malbrough_s_en_va_en_guerre.kar";11;;;3;4;;"intro2";"OK-M";;
"Divers_Comptines_Ne_pleure_pas_Jeannette.kar";6;;;;;;"Accompagnement--BBOK";"OK-M";;
"Divers_Comptines_Nini_peau_dchien.kar";8;;2;;;;"Basse    2";"OK";;
"Divers_Comptines_Noel_blanc.kar";11;;4;;;;"Strings P";"OK";;
"Divers_Comptines_O_Douce_Nuit.kar";13;;;;;;"Timpani";"OK-M";;
"Divers_Comptines_Sur_la_route_de_Louviers.kar";4;;;;;;"Accompagnement";"OK-M";;
"Divers_Comptines_Ya_pas_que_de_leau.kar";15;;4;;;;"Basse";"OK";;
"Donald_Lautrec_Des_betises.kar";18;;4;;;;"e bass";"OK";;
"Donna_Summer_I_feel_love_4.kar";17;;"4 5 6";;;;"Left Bass";"OK-M";;
"Donna_Summer_Last_dance_6.kar";12;;5;;;;"BASS";"OK";;
"Donna_Summer_She_works_hard_for_the_money_7.kar";12;;3;;;;"BASS";"OK";;
"Donna_con_te_Anna_Oxa.kar";18;;4;;;;"FINGERED";"OK";;
"Dontturn.kar";16;;5;;;;"Bass";"OK";;
"Doobie_Brothers_China_Grove.kar";14;;6;;;;"Bass";"OK";;
"Doobie_Brothers_Long_train_running_4.kar";10;;4;;;;"Bass";"OK";;
"Douce_Nuit.kar";13;;;;;;"Timpani";"OK-M";;
"Downunde.kar";28;;3;;;;"bass                ";"OK";;
"Dr_Hook_Queen_of_the_Silver_Dollar.kar";19;;8;;;;"Bass";"OK";;
"Dr_Hook_Sylvias_Mother.kar";13;;8;;;;"bass";"OK";;
"Dr_Hook_Sylvias_Mother2.kar";15;;6;;;;"bass";"OK";;
"Dr_Hook_When_Your_In_Love_With_A_Beautiful_Woman.kar";14;;4;;;;"Bass    ";"OK";;
"Duncan_Dhu_ESOS_OJOS_NEGROS.kar";11;;6;;;;"Bajo";"OK";;
"Duncan_Dhu_Esos_Ojos_Negros.kar";11;;6;;;;"Bajo";"OK";;
"Duran_Duran_Hungry_like_the_wolf_12.kar";19;;3;;;;"Bass";"OK";;
"Duran_Duran_Ordinary_World.kar";13;;5;;;;"Bass";"OK";;
"Duran_Duran_Ordinary_world_4.kar";13;;5;;;;"Bass";"OK";;
"Duran_Duran_Relax.kar";17;;3;;;;"BASS";"OK";;
"Durand_Thibault_Le_Jour_J.kar";14;;3;;;;"Basse    2";"OK";;
"EL_ULTIMO_DE_LA_FILA_por_Stapelton_LA_PUERTA_DEL_BAILE.kar";13;;"3 4";;;;"FingeredB";"OK-M";;
"E_Poi_Mina.kar";12;;3;;;;"BASS";"OK";;
"Eagles_Best_of_my_love_6.kar";12;;3;;;;"BASS";"OK";;
"Eagles_Desperado.kar";12;;6;;;;"BASS                ";"OK";;
"Eagles_Desperado_9.kar";12;;6;;;;"BASS                ";"OK";;
"Eagles_Hotel_California_4.kar";10;;4;;;;"Bass    ";"OK";;
"Eagles_Hotel_california.kar";10;;4;;;;"Bass    ";"OK";;
"Eagles_Lyin_eyes_9.kar";12;;6;;;;"bass                ";"OK";;
"Earth_Wind_And_Fire_After_the_love_has_gone.kar";16;;6;;;;"Bass";"OK";;
"Earth_Wind_And_Fire_Boogie_Wonderland.kar";17;;4;;;;"Bass";"OK";;
"Earth_Wind_And_Fire_Fantasy2.kar";17;;6;;;;"Bass";"OK";;
"Earth_Wind_And_Fire_Lets_groove2.kar";13;;6;;;;"Bass";"OK";;
"Earth_Wind_And_Fire_September.kar";12;;5;;;;"Bass";"OK";;
"Earth_Wind_and_Fire_Fantasy_4.kar";17;;6;;;;"Bass";"OK";;
"Eddie_Santiago_Que_locura_fue_enamorarme_de_ti.kar";19;;4;;;;"bajo";"OK";;
"Eddy_Mitchell_18_ans_demain.kar";13;;2;;;;"Basse  2";"OK";;
"Eddy_Mitchell_A_credit_et_en_stereo.kar";10;;5;;;;"Basse";"OK";;
"Eddy_Mitchell_Be_bop_a_lula.kar";11;;3;;;;"Bass    (BB)";"OK";;
"Eddy_Mitchell_Cest_bon_detre_seul.kar";10;;2;;;;"Basse";"OK";;
"Eddy_Mitchell_Happy_Birthday_rock_nroll.kar";12;;2;;;;"Basse";"OK";;
"Eddy_Mitchell_Jvous_derange.kar";13;;5;;;;"Basse";"OK";;
"Eddy_Mitchell_La_fille_du_motel.kar";14;;5;;;;"Basse";"OK";;
"Eddy_Mitchell_Les_tuniques_bleues_et_les_indiens.kar";13;;4;;;;"Basse  2";"OK";;
"Eddy_Mitchell_Mman.kar";13;;5;;;;"Basse";"OK";;
"Eddy_Mitchell_Pas_de_Boogie_woogie.kar";10;;4;;;;"Basse  2";"OK";;
"Eddy_Mitchell_Pauvre_baby_doll.kar";14;;5;;;;"Fngrbass";"OK";;
"Eddy_Mitchell_Sur_la_route_de_Memphis.kar";13;;4;;;;"Basse  2";"OK";;
"Eddy_Mitchell_Tu_peux_preparer_lcafe_noir.kar";11;;3;;;;"Basse    2";"OK";;
"Edith_Piaf_Le_prisonnier_de_la_tour.kar";5;;5;;;;"Left Hand";"OK";"REVISAR";
"Edith_Piaf_Les_amants_dun_jour.kar";12;;5;;;;"Basse   ";"OK";;
"Edith_Piaf_Les_trois_cloches.kar";20;;8;;;;"bass";"OK";"REVISAR""OK""";
"Edith_Piaf_Lhomme_a_la_moto.kar";18;;9;;;;"ACbasse3";"OK";"REVISAR";
"Edith_Piaf_Milord.kar";11;;4;;;;"Basse Ac2";"OK";"REVISAR";
"Edith_Piaf_Mon_Dieu.kar";12;;5;;;;;"OK";;
"El_Rey.kar.kar";8;;3;;;;"Bajo";"OK";;
"El_duo_dinamico_Si_no_fuera_por_ti.kar";15;;4;;;;" Fretless Bs. ";"OK";;
"Ella_Baila_Sola_C_mo_repartimos_los_amigos_4.kar";11;;4;;;;"Bass";"OK";;
"Elsa_A_la_meme_heure_dans_2_ans.kar";11;;4;;;;"Basse  2";"OK";;
"EltonJohn_Nikita_1.kar";12;;5;;;;"Bass";"OK";;
"Elton_John_Believe.kar";17;;4;;;;"Bass    ";"OK";;
"Elton_John_Believe_4.kar";17;;4;;;;"Bass    ";"OK";;
"Elton_John_Blessed.kar";18;;5;;;;"Fretless Bass";"OK";;
"Elton_John_Blessed_4.kar";18;;5;;;;"Fretless Bass";"OK";;
"Elton_John_Dont_Go_Breaking_My_Heart.kar";9;;4;;;;"Bass    ";"OK";;
"Elton_John_Dont_go_breaking_my_heart.kar";9;;4;;;;"Bass    ";"OK";;
"Elton_John_Goodbye_yellow_brick_road_1.kar";16;;3;;;;"BASS";"OK";;
"Elton_John_I_guess_thats_why_they_calI_it_the_blues.kar";11;;5;;;;"Bass";"OK";;
"Elton_John_I_guess_thats_why_they_calI_it_the_blues_1.kar";11;;5;;;;"Bass";"OK";;
"Elton_John_Island_Girl_1.kar";15;;5;;;;"Bass                ";"OK";;
"Elton_John_Rocket_man.kar";11;;4;;;;"Bass";"OK";;
"Elton_John_Yellow_Brick_Road.kar";12;;4;;;;"Fingered Bass";"OK";"Revisar";
"Elvis_Presley_Heartbreak_Hotel9.kar";8;;5;;;;"BASS";"OK";;
"Elvis_Presley_Suspicious_Minds.kar";11;;5;;;;"Bass";"OK";;
"Emilie_Jolie_Chanson_dEmilie_et_du_grand_oiseau.kar";14;;5;;;;"Basse    2";"OK";;
"Enfants_Ah_Vous_dirais_je_maman.kar";9;;5;;;;"Basse";"OK";;
"Enfants_Teletubbies.kar";10;;6;;;;"Tuba";"OK";;
"Engelbert_Humperdinck_Cuando_calienta_el_sol_4.kar";17;;5;;;;"Bass";"OK";;
"Enrico_Macias_Enfants_de_tous_pays.kar";11;;4;;;;"Basse.Ac 2";"OK";;
"Enrico_Macias_Mon_coeur_dattache.kar";14;;4;;;;"Basse Ac2";"OK";;
"Enrico_Macias_Toi_Paris_tu_mas_pris_dans_tes_bras.kar";14;;3;;;;"BasseAcou2";"OK";;
"Enzo_Enzo_Juste_quelquun_de_bien.kar";13;;8;;;;"Contrebasse";"OK";;
"Erasure_Breath_of_life.kar";16;;4;;;;"Warm pad";"OK";;
"Erasure_Chains.kar";23;;"5 6";;;;"Synth Bass 1";"OK-M";;
"Erasure_Respect.kar";19;;15;;;;"Synth Bass 1";"OK";;
"Eric_Clapton_After_Midnight.kar";14;;"10 12";;;;"M GUITAR            ";"OK-M";;
"Eric_Clapton_After_midnight_13.kar";14;;"10 12";;;;"M GUITAR            ";"OK-M";;
"Eric_Clapton_Bad_Love.kar";12;;6;;;;"Bass";"OK";;
"Eric_Clapton_Bad_love_4.kar";12;;6;;;;"Bass";"OK";;
"Eric_Clapton_Change_the_world.kar";14;;7;;;;"bass";"OK";;
"Eric_Clapton_Change_the_world_6.kar";14;;7;;;;"bass";"OK";;
"Eric_Clapton_Cocaine.kar";9;;7;;;;"Bass";"OK";;
"Eric_Lapointe_2_fois_la_meme_histoire.kar";10;;"4 7";;;;"bass1";"OK-M";;
"Eric_Lapointe_Dlamour_Jen_Veux_Plus.kar";9;;4;;;;"STEEL-STR.GT. THUMB ";"OK";;
"Eric_Lapointe_Terre_promise.kar";17;;5;;;;"bass    ";"OK";;
"Eric_Morena_Oh_mon_bateau.kar";12;;4;;;;"Basse";"OK";;
"Eros_Ramazzotti_Cosas_de_la_vida.kar";12;;4;;;;"FINGERED";"OK";;
"Eros_Ramazzotti_Cose_della_Vita_4.kar";12;;4;;;;"FINGERED";"OK";;
"Etienne_Daho_Le_premier_jour.kar";19;;4;;;;"Basse";"OK";;
"Eurithmics_Sweetdreams_4.kar";16;;5;;;;"Synth Bass";"OK";;
"Eurythmics_Sweet_Dreams.kar";16;;5;;;;"Synth Bass";"OK";;
"Everly_Brothers_All_I_Have_To_Do_Is_Dream.kar";11;;4;;;;"Bass";"OK";;
"Everytm.kar";18;;5;;;;"Bass";"OK";;
"FILM_MAMBO_KING_Bella_Maria_de_Mi_Corazon.kar";11;;4;;;;"Ac Bass";"OK";;
"Fabrizio_De_Andre_Amore_che_Vieni_Amore_che_Vai.kar";8;;3;;;;"Bass";"OK";;
"Faith_Hill_It_matters_to_me.kar";10;;3;;;;"bass";"OK";;
"Faith_Hill_The_way_you_love_me.kar";12;;11;;;;"Bass";"OK";;
"Falco_a_meta_Gianluca_Grignani.kar";12;;3;;;;"PICKBASS";"OK";;
"Fantasy.kar";17;;6;;;;"Bass";"OK";;
"Faudel_Tellement_je_taime.kar";13;;4;;;;"Basse";"OK";;
"Felix_Grey_A_toutes_les_filles_que_jai_aimees.kar";16;;5;;;;"Basse";"OK";;
"Felix_Leclerc_Le_tour_de_lile.kar";8;;3;;;;;"OK";;
"Fifth_Dimension_Age_Of_Aquarius.kar";24;;9;;;;"bass";"OK";;
"Fleetwood_Mac_Angel.kar";10;;5;;;;"Bass";"OK";;
"Fleetwood_Mac_Angel_1.kar";10;;5;;;;"Bass";"OK";;
"Fleetwood_Mac_Gold_dust_woman.kar";11;;5;;;;"Bass";"OK";;
"Fleetwood_Mac_Landslide.kar";8;;;;;;"Guitar 1";"OK-M";;
"Fleetwood_Mac_Landslide_2.kar";8;;;;;;"Guitar 1";"OK-M";;
"Fleetwood_Mac_Rhiannon_2.kar";13;;5;;;;"Bass";"OK";;
"Florent_Pagny_Caruso.kar";12;;4;;;;"BASSO";"OK";;
"Florent_Pagny_Chanter.kar";18;;5;;;;"Basse    2";"OK";;
"Florent_Pagny_Dors.kar";11;;2;;;;"Basse";"OK";;
"Florent_Pagny_Est_ce_que_tu_me_suis.kar";14;;5;;;;"Basse";"OK";;
"Florent_Pagny_Et_un_jour_une_femme.kar";17;;3;;;;"Basse";"OK";;
"Florent_Pagny_Mourir_les_yeux_ouvert.kar";9;;2;;;;"Basse    2";"OK";;
"Florent_Pagny_Savoir_aimer.kar";17;;5;;;;"Basse    2";"OK";;
"Florent_Pagny_Si_tu_veux_messayer.kar";10;;3;;;;"Basse  2";"OK";;
"Fm.kar";12;;5;;;;"Bass";"OK";;
"Foreigner_Everytime_you_go_away.kar";18;;5;;;;"Bass";"OK";;
"Foreigner_Head_game.kar";21;;5;;;;"bass guitar";"OK";;
"Foreigner_That_was_yesterday.kar";18;;3;;;;"Bass";"OK";;
"Four_Seasons_Big_Girls_Dont_Cry.kar";10;;8;;;;"Bass";"OK";;
"Four_Seasons_Cmon_Marianne.kar";12;;3;;;;"BASS";"OK";;
"Four_Seasons_December_1963_Oh_What_A_Night.kar";13;;9;;;;"bass                ";"OK";;
"Four_Seasons_Will_you_still_love_me_tomorrow.kar";28;;3;;;;"bass                ";"OK";;
"France_Damour_Mon_frere.kar";11;;4;;;;"Fretless Bass       ";"OK";;
"France_Gall_Babacar.kar";15;;"5 12";;;;"Slapbass1";"OK-M";;
"France_Gall_Bonsoir_John_John.kar";14;;4;;;;"Basse";"OK";;
"France_Gall_Laisse_tomber_les_filles.kar";15;;3;;;;"bass";"OK";;
"France_Gall_Mademoiselle_Chang.kar";13;;5;;;;"Basse   ";"OK";;
"France_Gall_Resiste.kar";25;;;;;;"funkitar";"OK-M";;
"France_Gall_Sacre_Charlemagne.kar";8;;4;;;;;"OK";;
"France_Gall_Samba_mambo.kar";11;;4;;;;"Basse";"OK";;
"Francis_Cabrel_Elle_ecoute_pousser_de_fleurs.kar";8;;;;;;"Remix�";"OK-M";;
"Francis_Cabrel_Encore_et_encore_1.kar";9;;7;;;;"Basse";"OK";;
"Francis_Cabrel_Il_faudra_leur_dire.kar";12;;4;;;;"Basse  2";"OK";;
"Francis_Cabrel_La_cabane_du_pecheur.kar";7;;;;;;"Accomp.";"OK-M";;
"Francis_Cabrel_La_cabane_du_pecheur_1.kar";10;;9;;;;"Basse";"OK";;
"Francis_Cabrel_La_corrida.kar";9;;;;;;"Nappes";"OK-M";;
"Francis_Cabrel_Le_pas_des_ballerines.kar";10;;4;;;;;"OK";;
"Francis_Cabrel_Les_chemins_de_traverse.kar";10;;"4 9";;;;"Remix�";"OK-M";;
"Francis_Cabrel_Les_chevaliers_cathares.kar";18;;4;;;;"basse";"OK";;
"Francis_Cabrel_Quelquun_de_linterieur.kar";9;;8;;;;"Basse";"OK";;
"Francis_Cabrel_Sarbacane.kar";10;;4;;;;"Basse  2";"OK";;
"Francis_Cabrel_Tout_le_monde_y_pense.kar";13;;9;;;;"Cello  7";"OK";"Revisar";
"Francis_Cabrel_Vite_croisee.kar";5;;;;;;"Accomp";"OK-M";;
"Francis_Lalanne_On_se_retrouvera.kar";12;;10;;;;;"OK";;
"Francisco_Latino.kar";13;;3;;;;"Bass";"OK";;
"Francois_Deguelt_Le_ciel_le_soleil_et_la_mer.kar";11;;4;;;;;"OK";;
"Francoise_Hardy_Message_personnel.kar";11;;5;;;;"Basse";"OK";;
"Frank_Alamo_Biche_oh_ma_biche.kar";10;;4;;;;"Fngrbass";"OK";;
"Frank_Sinatra_A_mi_manera2.kar";10;;4;;;;"bajo    ";"OK";;
"Frank_Sinatra_All_or_nothing_a_tall.kar";18;;5;;;;"bass                ";"OK";;
"Frank_Sinatra_Besame_mucho.kar";14;;3;;;;"Bass";"OK";;
"Frank_Sinatra_It_was_a_very_good_year.kar";23;;15;;;;"Bass    ";"OK";;
"Frank_Sinatra_Love_and_mariage.kar";16;;7;;;;"BASS";"OK";;
"Frank_Sinatra_My_Way.kar";7;;3;;;;"Bass";"OK";;
"Frank_Sinatra_Nicen_easy.kar";40;;12;;;;"Jazz Bass";"OK";;
"Frank_Sinatra_The_way_you_look_tonight.kar";10;;9;;;;"Bass";"OK";;
"Frank_Sinatra_Who_can_i_turn_to.kar";17;;5;;;;"Bass    (BB)";"OK";;
"Frank_Sinatra_Young_at_heart.kar";14;;5;;;;"Bass    (BB)";"OK";;
"Frankie_Goes_To_Hollywood_Relax.kar";17;;3;;;;"BASS";"OK";;
"Frankie_Valli_My_eyes_adored_you.kar";15;;3;;;;"MY EYES ADORED YOU  ";"OK";;
"Frankie_Valli_My_eyes_adored_you_14.kar";15;;3;;;;"MY EYES ADORED YOU  ";"OK";;
"Frederic_Francois_Chiquita.kar";10;;2;;;;"Basse";"OK";;
"Frederic_Lerner_Si_tu_mentends.kar";14;;3;;;;"Basse";"OK";;
"From_FILM_MAMBO_KING_Bella_Maria_de_Mi_Corazon.kar";11;;4;;;;"Ac Bass";"OK";;
"GLORIA_ESTEFAN_CON_LOS_A_OS_QUE_ME_QUEDAN.kar";10;;4;;;;"Bass";"OK";;
"G_Squad_Bebe.kar";13;;2;;;;"Synbass";"OK";;
"G_Squad_Sans_toi.kar";10;;2;;;;"Basse";"OK";;
"Garbage_Stupid_Girl.kar";28;;5;;;;"Bass";"OK";;
"Garth_Brooks_Beaches_of_cheyenne.kar";32;;5;;;;"BASS E.1";"OK";;
"Garth_Brooks_Honky_tonk_bar_association.kar";24;;"8 9";;;;"BASS 2";"OK-M";;
"Garth_Brooks_Longneck_bottle.kar";13;;3;;;;"Acoustic Bs.";"OK";;
"Garth_Brooks_The_thunder_rolls.kar";42;;3;;;;"BASS";"OK";;
"Gene_Vincent_Be_Bop_A_Lula.kar";11;;3;;;;"Bass    (BB)";"OK";;
"Genesis_I_Cant_Dance.kar";13;;;;;;"Guitar";"OK-M";;
"Genesis_I_cant_dance_4.kar";13;;;;;;"Guitar";"OK-M";;
"Genesis_Invisible_touch_4.kar";14;;5;;;;"Bass    ";"OK";;
"Genesis_Jesus_He_Knows_Me.kar";48;;4;;;;"bass           ";"OK";;
"Genesis_Jesus_He_knows_me_7.kar";48;;4;;;;"bass           ";"OK";;
"Genesis_Trick_of_the_Trail.kar";39;;5;3;4;;"Piano Left Hand";"OK-M";;
"George_Jones_He_stopped_loving_her_today.kar";12;;3;;;;"Bass";"OK";;
"George_Jones_The_wind_owupa_bove.kar";12;;3;;;;"Bass    (BB)";"OK";;
"George_Michael_One_More_Try.kar";7;;6;;;;"Bas";"OK";;
"George_Moustaki_Il_est_trop_tard.kar";7;;2;;;;"CtrBass2";"OK";;
"George_Strait_Stay_out_of_my_arms.kar";17;;4;;;;"Bass";"OK";;
"George_Strait_Were_all_y_shouldnt_be_doing_this.kar";13;;12;;;;"Bass";"OK";;
"George_Strait_You_look_so_good_in_love.kar";12;;3;;;;"Bass";"OK";;
"George_m_cohan_A_ring_to_the_name_of_rose.kar";5;;;4;5;;"Left Hand";"OK-M";;
"Georges_Brassens_A_mon_frere_revenant_dItalie.kar";20;;5;;;;"Contrebasse";"OK";;
"Georges_Brassens_Entre_la_rue_Didot_et_la_rue_de_Vanves.kar";7;;6;;;;"Contrebasse";"OK";;
"Georges_Brassens_Il_suffit_de_passer_le_pont.kar";6;;4;;;;;"OK";;
"Georges_Brassens_Je_me_suis_fait_tout_petit.kar";7;;1;;;;"Basse2";"OK";;
"Georges_Brassens_Je_rejoindrai_ma_belle.kar";5;;5;;;;;"OK";;
"Georges_Brassens_La_princesse_et_le_croque_notes.kar";10;;3;;;;"basse";"OK";;
"Georges_Brassens_Le_mauvais_sujet_repenti.kar";5;;5;;;;;"OK";;
"Georges_Brassens_Le_mouton_de_Panurge.kar";5;;5;;;;;"OK";;
"Georges_Brassens_Le_temps_ne_fait_rien_a_laffaire.kar";8;;1;;;;"Basse2";"OK";;
"Georges_Brassens_Le_verger_du_roi_Louis.kar";5;;5;;;;;"OK";;
"Georges_Brassens_Le_vieux_normand.kar";6;;5;;;;;"OK";;
"Georges_Brassens_Les_sabots_dHelene.kar";7;;5;;;;"AcBass";"OK";;
"Georges_Brassens_Mourir_pour_des_idees.kar";7;;5;;;;"Basso";"OK";;
"Georges_Brassens_Sauf_le_respect_que_je_vous_dois.kar";7;;1;;;;"Basse2";"OK";;
"Georges_Brassens_Supplique_pour_etre_enterre_a_la_plage_de_Sete.kar";10;;4;;;;"basse";"OK";;
"Georges_Hamel_Je_bois_pour_oublier.kar";11;;"4 5";;;;"Acoustique Basse";"OK-M";;
"Georges_Hamel_Sur_ma_table_un_verre_vide.kar";12;;"1 12";;;;"BASS";"OK-M";;
"Georges_Hamel_Une_fleur_a_la_boutonniere.kar";6;;2;;;;"basse               ";"OK";;
"Georges_Harisson_Here_Comes_The_Sun.kar";12;;7;;;;"Acc Bass";"OK";;
"Georges_Harisson_The_inner_light.kar";15;;;;;;"Organ";"OK-M";;
"Georgius_La_plus_bath_des_javas.kar";7;;;;;;"Piano2";"OK-M";;
"Geraldine_Bouge_ton_attitude.kar";16;;3;;;;"SynthBass2";"OK";;
"Gerard_Danyel_Il_pleut_dans_ma_maison.kar";9;;5;;;;"Basse Ac 2";"OK";;
"Gerard_Lenorman_Il_parle_aux_oiseaux.kar";8;;2;;;;"Basse2";"OK";;
"Gerard_Lenorman_La_Ballade_des_gens_heureux.kar";13;;5;;;;"Basse";"OK";;
"Gerry_Boulet_Un_beau_grand_bateau.kar";17;;4;;;;"Bass";"OK";;
